High,Low
12061.1,10730.7
11847.7,11226.1
11434.8,10964.6
11164.4,10861.6
11336.5,10771.8
11046.1,10873.6
11367,9894.6
10086.6,9645.9
9729.3,9536.2
9626.2,9480.5
9646.5,9451.1
9523.1,9296
9426.9,9155.1
9218.4,9139.9
9224.8,9106.4
9198.8,9126.7
9181.9,9091.5
9224.2,9052
9270.2,9168.7
9274.8,9135.7
9329.6,9207.6
9337.8,9170.4
9295.5,9184.2
9309.8,9131.9
9434.5,9176
9458.3,9233.1
9371.2,9209.3
9363,9063.2
9149.6,8932.1
9182.3,9049.6
9120.4,9050.9
9259.7,8962.1
9289,9101.1
9199.8,9075.3
9229.1,9033.6
9185.5,8950.2
9190.5,8865.3
9296.5,9060.1
9327.3,9022.6
9667.4,9223
9715.6,9581.8
9751.9,9285.8
9411.2,9288.5
9394.5,9199.8
9424,9249.6
9480.4,9289.3
9543.6,9258.2
9577.1,9379.3
9489.7,8925.6
9474.7,9264.4
9484.9,9369.9
9547.5,9249.4
9945.2,9139.1
9970.9,9710.7
9857.2,9616.6
9788.2,9662.3
9791.8,9417.4
9733.1,9549.5
9846.1,9628.7
9864.4,9490.9
9667.2,9421.7
10207.3,9347.3
10301.8,9429.7
9695.6,9406.2
9729.9,9352.7
9596.5,9358.1
9610.8,9119.2
9210.9,8818.6
8994.6,8713.9
8959.5,8666.1
9292,8724.1
9303.2,9098.9
9253.5,8952.1
9567.1,8833.6
9829.3,9368.4
9883.9,9498.7
9930.2,9524.4
9866,9327.8
9579,9233
9819.6,9223.2
9887.5,9265.8
9384.6,8799.1
8964.5,8542.8
9129.6,8235.6
9569.4,8259.3
9910.5,9533.6
10018.2,9731.4
10033,9064.8
9373.7,8923.6
9078.7,8800.4
8945.5,8553.2
9169.9,8742.2
8986.2,8771.3
9040.3,8621
9437.5,8425.5
8918.5,7729.7
7770.1,7655.3
7768.5,7637.7
7679.4,7520.5
7684.6,7451
7583.5,7423.5
7655.4,7036.5
7137.4,6821.8
6919.3,6774.3
7207.5,6771.2
7238,7079.1
7259.4,7031.5
7142.8,7005.8
7159.7,6520.5
6929.5,6615.9
6970.8,6768.6
6920.3,6618.5
7158.8,6785.1
6931.4,6765.1
7294.4,6756.1
7361.1,7140.3
7396.1,7153.1
7440.3,7101.7
7335,6770.1
6889.4,6686
6958.6,6679.1
7026.3,6623.6
7182.7,6567.9
6661.3,6157.4
6513.1,6346.3
6576.5,5872.5
6258.8,5889.3
6374.3,6046.5
6813.7,6322.3
6772.9,6541.7
6930.2,6474.6
6814.2,6380.8
6564.7,5710.8
6394.4,5771.2
6438.3,5887
6858.1,5748.2
6379.5,5256
5373.1,5020.9
5432.8,4946.5
5369.3,4477.7
