High,Low
2465.84,2181.93
2567.42,2207.21
2760.17,2332.43
2885.87,2638.62
2908.37,2648.1
2747.49,2388.81
2667.2,2080.87
2379.89,1739.91
2481.06,2162.84
2931.66,2111.42
2988.52,2163.4
3434.01,1922.25
3558.57,3244.93
3582.27,3130.12
3877.2,3351.92
4129.99,3639.12
4171.76,3694.54
4031.99,3539.96
4366.1,3794.15
4177.53,3781.86
4203.98,3669.84
3979.77,3734.44
3952.88,3453.37
3583.34,3363.56
3601.59,3380.6
3540.78,3228.86
3516.34,3188.9
3451.44,2950.07
2984.52,2854.12
2951.74,2753.6
2797.61,2726.03
2797.52,2670.35
2759.03,2562.74
2677.95,2484.44
2539.8,2305.97
2355.2,2169.91
2367.46,2159.6
2440.21,2119.26
2642.99,2313.46
2467.51,2238.15
2345.18,2058
2275.87,2081.3
2338.53,1948.93
2493.93,2314.12
2544.54,2302.3
2541.9,2402.75
2445.4,2281.49
2315.47,2136.49
2199.52,2103.73
2164.76,2114.55
2197.73,2058.23
2101.07,2050.39
2084.08,1951.83
2128.25,1939.64
2150.78,2047.48
2127.89,2004.05
2091.31,1982
2137.68,2004.4
2144.11,1949.99
1983.84,1897.38
1945.4,1774.66
1857.65,1788.6
1839.41,1678.38
1724.74,1661.92
1731.73,1667.12
1699.27,1586.28
1621.32,1550.11
1739.82,1546.48
1720.01,1654.14
1806.62,1659.28
1815.85,1748.47
1868.09,1801.6
1848.88,1735.42
1849.23,1760.83
1837.88,1743.62
1817.35,1715.97
1890.59,1745.04
1932.36,1836.78
1943.36,1730.46
1841.19,1723.18
1845.32,1729.05
1875.98,1759.5
1869.1,1801.29
1841.05,1665.54
1732.84,1634.73
1670.01,1514.62
1548.71,1443.32
1623.73,1506.86
1653.04,1477.72
1602.13,1457.22
1571.15,1411.55
1467.76,1294.79
1527.69,1427.15
1561.66,1403.3
1669.24,1460.92
1711.16,1505.79
1781.44,1370.45
1935.04,1561.68
1974.99,1885.7
2040.79,1800
1968.93,1892.7
1950.04,1849.05
1854.03,1734.15
1827.07,1726.78
1835.51,1661.09
1850,1787.11
1871.36,1766.05
1862.17,1741.04
1817.68,1704.97
1835.4,1683.52
1818.94,1711.4
1775.12,1566.43
1692.29,1491.68
1742.9,1648.03
1760.09,1589.28
1693.64,1570.45
1667.93,1510.27
1546.88,1361.63
1376.44,1272.09
1380.04,1282.41
1405.78,1327.66
1436.27,1288.26
1359.51,1221.15
1372.31,1210.4
1377.94,1246.45
1474.68,1298.13
1398,1222.14
1271.65,1196.94
1272.85,1045.02
1387.39,1095.26
1406.56,1237.27
1437.42,1252.36
1260.3,1184.15
1269.01,1168.39
1290.92,1154.04
1256.13,1079.19
1246.52,1088.52
1134.66,990.96
1149.19,1008.28
1257.3,917.96
1347.98,1180.45
1301.75,1172.39
1271.08,1069.25
1286.81,1153.09
1210.78,1060.67
1131.56,976.91
1158.27,894.24
1008.49,769.57
787.26,715.15
748.96,715.74
755.13,724.67
757.11,720.21
739.77,690.24
747.86,682.47
715.46,627.12
652.36,616.04
633.9,605.01
614.92,566.15
638.11,554.09
637.47,588.24
647.87,599.97
661.04,622.39
669.54,645.91
664.26,630.44
675.68,627.36
638.18,580.9
596.97,579.95
591.41,576.01
594.83,563.37
573.59,543.9
560.28,536.43
575.56,548.99
577.94,530.88
594.78,551.08
603.06,584.53
606.9,583.67
596.73,561.24
619.61,566.34
622.1,587.15
604.34,575.24
635.66,567.79
615.97,571.04
576.52,530.71
547.94,506.97
530.41,494.65
577.08,484.03
605.63,555.32
621.7,589.56
610.33,551.8
580,514.44
552.13,505.14
513.06,471.06
480.55,465.41
495.04,459.92
484.59,459.74
465.97,445.82
462.93,440.44
477.34,452.6
477.78,457.65
469.57,452.44
476.08,449.51
454.43,439.5
458.51,434.95
460.09,432.44
467.88,425.57
457.79,415.08
419.94,396.46
407.9,377.22
389.98,370.96
404.04,379.13
397.32,384.94
394.01,380.53
391.98,374.36
393.33,381.53
408.1,381.51
409.85,390.92
410.41,383.21
417.07,403.95
416.28,407.74
419.11,402.91
420.12,391.21
400.36,368.06
380.14,367.16
383.97,372.72
378.49,367.54
369.94,363.18
379.6,362.65
380.77,370.39
387.11,373.62
387.06,374.57
394.58,366.05
377.27,369.23
377.97,364.57
368.19,347.82
352.95,334.79
342.68,334.11
354.9,337.21
354.86,348.76
353.97,344.03
351.04,343.74
353.61,335.91
369.1,345.66
360.94,352.81
360.66,351.48
367.63,352.57
362,347.51
355.87,346.95
357.8,338.01
352.6,317.27
344.12,315.54
